ISO3166,Country,Happiness,GDP PER CAPITA,LIFE EXP.,CORRUPTION,INEQUALITY,PERSONAL FREEDOM,ECONOMIC FREEDOM,ALCOHOL CONSUMPTION,GOV HEALTH SPENDING (% COST),GOV HEALTH SPENDING ($)
36,AUSTRALIA,7.28399992,49900,82.3,79,30.3,9.215131248,7.99,10.21,67.99334124,3246.365812
40,AUSTRIA,7.006000042,49200,81.6,75,29.2,9.380462145,7.66,12.4,77.51287402,3843.423895
56,BELGIUM,6.890999794,46300,81.1,77,25.9,9.185679263,7.44,10.41,74.74386679,3451.902222
124,CANADA,7.315999985,48100,81.9,82,32.1,9.130116289,7.94,10.2,70.4968064,3681.426135
152,CHILE,6.65199995,24600,78.9,66,50.5,8.231656573,7.77,8.81,48.18374585,456.4062317
203,CZECH REPUBLIC,6.609000206,35200,78.8,55,25,8.958433301,7.46,16.47,83.67624803,1238.410969
208,DENMARK,7.521999836,49600,79.5,90,28.8,9.358081743,7.77,12.02,85.10605508,5465.086052
233,ESTONIA,5.611000061,31500,76.9,70,34.8,9.012851501,7.95,17.24,78.67698929,671.3716873
246,FINLAND,7.468999863,44000,81,89,21.5,9.404396465,7.75,13.1,75.05422993,2990.412639
250,FRANCE,6.441999912,43600,81.9,69,29.2,8.74201324,7.33,12.48,77.84911661,3651.849006
276,GERMANY,6.951000214,50200,80.8,81,27,9.215403609,7.69,12.14,77.07899598,3598.298292
300,GREECE,5.227000237,27800,80.7,44,36.7,8.062802583,6.36,11.01,59.39862521,1621.205318
348,HUNGARY,5.323999882,28900,76.1,48,28.2,8.186017416,7.3,16.12,69.37603631,653.761609
352,ICELAND,7.504000187,52100,83.1,78,28,9.00661752,7.23,7.38,80.69110498,3003.527697
372,IRELAND,6.977000237,72600,80.9,73,31.3,9.17123557,8.19,14.92,69.1572485,2933.400094
376,ISRAEL,7.212999821,36200,82.5,64,42.8,7.870429642,7.49,2.52,60.32275821,1316.98035
380,ITALY,5.964000225,38000,82.3,47,31.9,8.739710895,7.3,9.72,77.61674175,2520.742869
392,JAPAN,5.920000076,42700,85.3,72,37.9,8.92771395,7.47,7.79,82.52704437,3355.070098
#N/A,KOREA,5.837999821,39400,82.5,53,34.1,8.790752085,7.54,19.15,58.96901266,848.4361655
428,LATVIA,5.849999905,27300,74.7,57,34.5,8.716331629,7.75,13.45,61.14194507,438.7428921
442,LUXEMBOURG,6.862999916,109100,82.3,81,30.4,9.329301287,7.63,12.84,84.40830867,6905.530344
484,MEXICO,6.578000069,19500,76.1,30,48.2,6.916305373,6.95,8.55,0,0
528,NETHERLANDS,7.376999855,53600,81.4,83,30.3,9.366650955,7.74,9.75,79.22540732,4431.118412
554,NEW ZEALAND,7.31400013,38500,81.3,90,36.2,9.248515447,8.48,9.99,83.22093608,2728.495433
578,NORWAY,7.537000179,70600,81.9,85,26.8,9.469043483,7.67,8.35,83.8975308,6788.388756
616,POLAND,5.97300005,29300,77.8,62,30.8,8.812372793,7.34,14.43,72.62127126,666.0193831
620,PORTUGAL,5.195000172,30300,79.4,62,33.9,9.090996756,7.53,13.89,68.14860749,1612.751273
703,SLOVAK REPUBLIC,6.09800005,32900,77.3,51,23.7,8.760944626,7.31,13.31,65.85468682,930.2932263
705,SLOVENIA,5.757999897,34100,78.3,61,24.5,9.022559108,7,14.94,73.66028507,1586.851233
724,SPAIN,6.402999878,38200,81.8,58,35.9,8.774407142,7.51,11.83,72.81485471,2099.095912
752,SWEDEN,7.28399992,51300,82.1,88,24.9,9.319052657,7.65,9.5,81.09903561,3820.116794
756,SWITZERLAND,7.493999958,61400,82.6,86,29.5,9.333753528,8.44,11.41,59.02004489,4610.77461
792,TURKEY,5.5,26500,75,41,40.2,6.713979032,6.82,3.02,75.20332138,509.9637435
826,UNITED KINGDOM,6.714000225,43600,80.8,81,32.4,9.049820912,8.05,13.24,83.8868352,2938.424005
840,UNITED STATES,6.993000031,59500,80,74,45,8.830423562,7.94,9.7,53.05846908,4436.607049
